Date,Capture Factor offshore wind,Capture Factor onshore wind,Capture Factor solar 
1/8/2037,0.8834,0.79474,0.72839
1/9/2037,0.8919,0.77318,0.69828
1/10/2037,0.8828,0.72491,0.68189
1/11/2037,0.8613,0.67613,0.69418
1/12/2037,0.8408,0.65404,0.72383
1/1/2038,0.8348,0.66462,0.72794
1/2/2038,0.8521,0.70071,0.70045
1/3/2038,0.8735,0.73389,0.64967
1/4/2038,0.88,0.75021,0.62614
1/5/2038,0.8698,0.75666,0.65348
1/6/2038,0.8595,0.76724,0.70589
1/7/2038,0.8649,0.78441,0.7376
1/8/2038,0.8813,0.79186,0.7278
1/9/2038,0.8897,0.77,0.69677
1/10/2038,0.8804,0.72114,0.67815
1/11/2038,0.8588,0.67198,0.68789
1/12/2038,0.8383,0.6499,0.71628
